"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 82.792752 82.792752 123.572752 123.572752
4 79.179778 79.179778 119.959778 119.959778
7 77.520678 77.520678 118.300678 118.300678
17 74.244727 74.244727 115.024727 115.024727
18 73.058391 73.058391 113.838391 113.838391
21 71.687693 71.687693 112.467693 112.467693
22 68.138801 68.138801 108.918801 108.918801
23 64.462346 64.462346 105.242346 105.242346
24 60.228434 60.228434 101.008434 101.008434
25 59.881012 59.881012 100.661012 100.661012
29 56.544910 56.544910 97.324910 97.324910
32 55.597404 55.597404 96.377404 96.377404
